date,Ceará,Minas Gerais,Paraná,Rio de Janeiro,Rio Grande do Sul,Santa Catarina,São Paulo,Distrito Federal,Bahia,Paraíba,Pernambuco,Espírito Santo,Rio Grande do Norte,Alagoas,Mato Grosso do Sul,Goiás,Rondônia,Amazonas,Pará,Maranhão,Piauí,Sergipe,Mato Grosso,Acre,Tocantins,Roraima,Amapá
14/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
15/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
16/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
17/03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
18/03,0.0,0.0,0.0,0.0,0.0,0.0,1.9809941250734873,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
19/03,0.0,0.0,0.0,0.0,0.0,0.0,2.5406332488849297,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
20/03,0.0,0.0,0.0,0.0,0.0,0.0,2.699958352049704,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
21/03,0.0,0.0,0.0,0.0,0.0,0.0,3.4340907761356534,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
22/03,0.0,0.0,0.0,0.0,0.0,0.0,2.7382428166891444,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
23/03,0.0,0.0,0.0,0.0,0.0,0.0,2.797385437031151,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
24/03,0.0,0.0,0.0,2.4331238571429994,0.0,0.0,2.848251315576682,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
25/03,0.0,0.0,0.0,2.3163318807729985,0.0,0.0,2.9564826059899745,3.0036051486284534,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
26/03,2.6871037089821046,0.0,0.0,2.5268003241560066,3.2723445327213008,2.762078198117815,3.7287862169649717,4.714566518357281,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
27/03,3.5402227495794203,3.5543440546067266,5.252058009623952,2.6295541889209155,4.578912766475878,3.678778033435275,4.893362466089941,5.056471003641345,3.720815826136885,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
28/03,4.879903399458007,5.9596704970848515,4.300250263514739,3.3991875442070243,3.765614192559817,5.187688786935565,5.891547133013798,5.228210286470149,3.9583937744743034,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
29/03,5.126606511349054,6.978169439631983,3.939949480448785,3.918565868086433,3.732276898912346,5.698221529061095,5.39094390738453,5.626379681113599,4.738392261195479,0,9.519114534548079,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
Hoje,4.915825122825887,5.4126004082835255,4.219647748409726,4.687657609826272,4.508143198070064,4.8677706302073185,4.734565054661236,5.785406571403992,5.442545745097339,0,5.777541156010384,0,0,0,0,0,0,2.9508217942613637,0,0,0,0,0,0,0,0,0
