"createdAt","latitude","longitude","nome","objectId","percent","qtd_confirmado","updatedAt","casos_novos","day","letalidade","qtd_obito"
"2020-03-25T23:37:11.137Z",-22.9129,-43.2003,"Rio de Janeiro","SgfpOQHx9r","",493,"2020-03-27T19:18:51.358Z",72,27-03-20,NA,NA
"2020-03-25T23:37:11.137Z",-5.79357,-35.1986,"Rio Grande do Norte","ZEqcJDbUUk","",28,"2020-03-27T19:18:09.831Z",9,27-03-20,NA,NA
"2020-03-25T23:37:11.137Z",-30.0318,-51.2065,"Rio Grande do Sul","zWseWwWhhn","",195,"2020-03-27T19:18:17.924Z",27,27-03-20,NA,NA
"2020-03-25T23:37:11.139Z",-8.76077,-63.8999,"Rondônia","IeCnkqtfOf","",6,"2020-03-27T19:18:59.817Z",1,27-03-20,NA,NA
"2020-03-25T23:37:11.141Z",2.82384,-60.6753,"Roraima","OpUETQp72a","",10,"2020-03-27T19:20:01.767Z",2,27-03-20,NA,NA
"2020-03-25T23:37:11.156Z",-27.5945,-48.5477,"Santa Catarina","v64fT2DVSw","",149,"2020-03-27T19:20:44.905Z",27,27-03-20,NA,NA
"2020-03-25T23:37:11.143Z",-23.5329,-46.6395,"São Paulo","AIzthCzqdx","",1223,"2020-03-27T19:20:19.653Z",171,27-03-20,NA,NA
"2020-03-25T23:37:11.142Z",-10.9091,-37.0677,"Sergipe","VpSNd1zJrg","",16,"2020-03-27T19:19:41.273Z",0,27-03-20,NA,NA
"2020-03-25T23:37:11.153Z",-10.24,-48.3558,"Tocantins","bsZ2atdJ6V","",8,"2020-03-27T19:20:38.307Z",1,27-03-20,NA,NA
"2020-03-25T23:37:11.094Z",-9.97499,-67.8243,"Acre","uTN8WP10HY","0%",25,"2020-03-28T19:24:52.296Z",0,2020-03-28,NA,NA
"2020-03-25T23:37:11.098Z",-9.66599,-35.735,"Alagoas","XHUDIFEjQy","",14,"2020-03-28T19:25:04.070Z",3,2020-03-28,NA,NA
"2020-03-25T23:37:11.100Z",0.034934,-51.0694,"Amapá","kfOtyvDHh3","",4,"2020-03-28T19:24:58.134Z",2,2020-03-28,NA,NA
"2020-03-25T23:37:11.101Z",-3.11866,-60.0212,"Amazonas","kZjftVxsJ2","",111,"2020-03-28T19:25:10.839Z",30,2020-03-28,NA,NA
"2020-03-25T23:37:11.114Z",-12.9718,-38.5011,"Bahia","alzUcJAbsL","",128,"2020-03-28T19:25:19.175Z",13,2020-03-28,NA,NA
"2020-03-25T23:37:11.120Z",-3.71664,-38.5423,"Ceará","ThJDLoQlin","",314,"2020-03-28T19:25:48.068Z",32,2020-03-28,NA,NA
"2020-03-25T23:37:11.118Z",-15.7795,-47.9297,"Distrito Federal","U8jHH89IkZ","",260,"2020-03-28T19:25:27.436Z",30,2020-03-28,NA,NA
"2020-03-25T23:37:11.118Z",-20.3155,-40.3128,"Espírito Santo","LlLUQQW7em","",53,"2020-03-28T19:25:40.549Z",6,2020-03-28,NA,NA
"2020-03-25T23:37:11.120Z",-16.6864,-49.2643,"Goiás","MOPNB3fPnM","",56,"2020-03-28T19:25:54.583Z",7,2020-03-28,NA,NA
"2020-03-25T23:37:11.116Z",-2.53874,-44.2825,"Maranhão","fwHJWgSphk","",14,"2020-03-28T19:25:33.478Z",1,2020-03-28,NA,NA
"2020-03-25T23:37:11.128Z",-15.601,-56.0974,"Mato Grosso","EPgf4v3eYo","",13,"2020-03-28T19:26:10.090Z",2,2020-03-28,NA,NA
"2020-03-25T23:37:11.142Z",-20.4486,-54.6295,"Mato Grosso do Sul","EgBxJSFJkf","",31,"2020-03-28T19:27:31.102Z",3,2020-03-28,NA,NA
"2020-03-25T23:37:11.132Z",-19.9102,-43.9266,"Minas Gerais","2v59GBInrd","",205,"2020-03-28T19:26:19.267Z",16,2020-03-28,NA,NA
"2020-03-25T23:37:11.129Z",-1.4554,-48.4898,"Pará","d1ejs3xsWl","",17,"2020-03-28T19:26:02.134Z",4,2020-03-28,NA,NA
"2020-03-25T23:37:11.144Z",-7.11509,-34.8641,"Paraíba","6eSlyH3T4n","",14,"2020-03-28T19:28:03.589Z",5,2020-03-28,NA,NA
"2020-03-25T23:37:11.137Z",-25.4195,-49.2646,"Paraná","cSB7DrlxKW","",133,"2020-03-28T19:27:00.938Z",14,2020-03-28,NA,NA
"2020-03-25T23:37:11.134Z",-8.04666,-34.8771,"Pernambuco","fnVKeAvGLb","",68,"2020-03-28T19:26:26.429Z",12,2020-03-28,NA,NA
"2020-03-25T23:37:11.138Z",-5.09194,-42.8034,"Piauí","gQiBOengLe","",11,"2020-03-28T19:27:08.488Z",2,2020-03-28,NA,NA
"2020-03-25T23:37:11.137Z",-22.9129,-43.2003,"Rio de Janeiro","SgfpOQHx9r","",558,"2020-03-28T19:27:18.293Z",65,2020-03-28,NA,NA
"2020-03-25T23:37:11.137Z",-5.79357,-35.1986,"Rio Grande do Norte","ZEqcJDbUUk","",45,"2020-03-28T19:26:37.912Z",17,2020-03-28,NA,NA
"2020-03-25T23:37:11.137Z",-30.0318,-51.2065,"Rio Grande do Sul","zWseWwWhhn","",197,"2020-03-28T19:26:46.954Z",2,2020-03-28,NA,NA
"2020-03-25T23:37:11.139Z",-8.76077,-63.8999,"Rondônia","IeCnkqtfOf","",6,"2020-03-27T19:18:59.817Z",0,2020-03-28,NA,NA
"2020-03-25T23:37:11.141Z",2.82384,-60.6753,"Roraima","OpUETQp72a","",12,"2020-03-28T19:27:46.125Z",2,2020-03-28,NA,NA
"2020-03-25T23:37:11.156Z",-27.5945,-48.5477,"Santa Catarina","v64fT2DVSw","",184,"2020-03-28T19:28:19.542Z",35,2020-03-28,NA,NA
"2020-03-25T23:37:11.143Z",-23.5329,-46.6395,"São Paulo","AIzthCzqdx","",1406,"2020-03-28T19:27:54.125Z",183,2020-03-28,NA,NA
"2020-03-25T23:37:11.142Z",-10.9091,-37.0677,"Sergipe","VpSNd1zJrg","",16,"2020-03-28T19:27:38.096Z",0,2020-03-28,NA,NA
"2020-03-25T23:37:11.153Z",-10.24,-48.3558,"Tocantins","bsZ2atdJ6V","",9,"2020-03-28T19:28:10.867Z",1,2020-03-28,NA,NA
"2020-03-25T23:37:11.094Z",-9.97499,-67.8243,"Acre","uTN8WP10HY","0%",34,"2020-03-29T19:25:14.509Z",9,2020-03-29,NA,NA
"2020-03-25T23:37:11.098Z",-9.66599,-35.735,"Alagoas","XHUDIFEjQy","",17,"2020-03-29T19:25:53.015Z",3,2020-03-29,NA,NA
"2020-03-25T23:37:11.100Z",0.034934,-51.0694,"Amapá","kfOtyvDHh3","",4,"2020-03-28T19:24:58.134Z",0,2020-03-29,NA,NA
"2020-03-25T23:37:11.101Z",-3.11866,-60.0212,"Amazonas","kZjftVxsJ2","",140,"2020-03-29T19:26:06.586Z",29,2020-03-29,NA,NA
"2020-03-25T23:37:11.114Z",-12.9718,-38.5011,"Bahia","alzUcJAbsL","",154,"2020-03-29T19:26:26.493Z",26,2020-03-29,NA,NA
"2020-03-25T23:37:11.120Z",-3.71664,-38.5423,"Ceará","ThJDLoQlin","",348,"2020-03-29T19:27:03.312Z",34,2020-03-29,NA,NA
"2020-03-25T23:37:11.118Z",-15.7795,-47.9297,"Distrito Federal","U8jHH89IkZ","",289,"2020-03-29T19:26:38.772Z",29,2020-03-29,NA,NA
"2020-03-25T23:37:11.118Z",-20.3155,-40.3128,"Espírito Santo","LlLUQQW7em","",60,"2020-03-29T19:27:55.835Z",7,2020-03-29,NA,NA
"2020-03-25T23:37:11.120Z",-16.6864,-49.2643,"Goiás","MOPNB3fPnM","",58,"2020-03-29T19:28:11.748Z",2,2020-03-29,NA,NA
"2020-03-25T23:37:11.116Z",-2.53874,-44.2825,"Maranhão","fwHJWgSphk","",16,"2020-03-29T19:27:37.862Z",2,2020-03-29,NA,NA
"2020-03-25T23:37:11.128Z",-15.601,-56.0974,"Mato Grosso","EPgf4v3eYo","",16,"2020-03-29T19:28:48.141Z",3,2020-03-29,NA,NA
"2020-03-25T23:37:11.142Z",-20.4486,-54.6295,"Mato Grosso do Sul","EgBxJSFJkf","",36,"2020-03-29T19:31:36.290Z",5,2020-03-29,NA,NA
"2020-03-25T23:37:11.132Z",-19.9102,-43.9266,"Minas Gerais","2v59GBInrd","",231,"2020-03-29T19:28:27.020Z",26,2020-03-29,NA,NA
"2020-03-25T23:37:11.129Z",-1.4554,-48.4898,"Pará","d1ejs3xsWl","",18,"2020-03-29T19:29:01.623Z",1,2020-03-29,NA,NA
"2020-03-25T23:37:11.144Z",-7.11509,-34.8641,"Paraíba","6eSlyH3T4n","",14,"2020-03-29T19:31:55.026Z",0,2020-03-29,NA,NA
"2020-03-25T23:37:11.137Z",-25.4195,-49.2646,"Paraná","cSB7DrlxKW","",148,"2020-03-29T19:30:40.562Z",15,2020-03-29,NA,NA
"2020-03-25T23:37:11.134Z",-8.04666,-34.8771,"Pernambuco","fnVKeAvGLb","",73,"2020-03-29T19:29:33.054Z",5,2020-03-29,NA,NA
"2020-03-25T23:37:11.138Z",-5.09194,-42.8034,"Piauí","gQiBOengLe","",14,"2020-03-29T19:30:51.680Z",3,2020-03-29,NA,NA
"2020-03-25T23:37:11.137Z",-22.9129,-43.2003,"Rio de Janeiro","SgfpOQHx9r","",600,"2020-03-29T19:31:09.238Z",42,2020-03-29,NA,NA
"2020-03-25T23:37:11.137Z",-5.79357,-35.1986,"Rio Grande do Norte","ZEqcJDbUUk","",68,"2020-03-29T19:30:03.264Z",23,2020-03-29,NA,NA
"2020-03-25T23:37:11.137Z",-30.0318,-51.2065,"Rio Grande do Sul","zWseWwWhhn","",226,"2020-03-29T19:30:21.101Z",29,2020-03-29,NA,NA
"2020-03-25T23:37:11.139Z",-8.76077,-63.8999,"Rondônia","IeCnkqtfOf","",6,"2020-03-27T19:18:59.817Z",0,2020-03-29,NA,NA
"2020-03-25T23:37:11.141Z",2.82384,-60.6753,"Roraima","OpUETQp72a","",16,"2020-03-29T19:32:18.487Z",4,2020-03-29,NA,NA
"2020-03-25T23:37:11.156Z",-27.5945,-48.5477,"Santa Catarina","v64fT2DVSw","",194,"2020-03-29T19:32:34.484Z",10,2020-03-29,NA,NA
"2020-03-25T23:37:11.143Z",-23.5329,-46.6395,"São Paulo","AIzthCzqdx","",1451,"2020-03-29T19:33:02.592Z",45,2020-03-29,NA,NA
"2020-03-25T23:37:11.142Z",-10.9091,-37.0677,"Sergipe","VpSNd1zJrg","",16,"2020-03-28T19:27:38.096Z",0,2020-03-29,NA,NA
"2020-03-25T23:37:11.153Z",-10.24,-48.3558,"Tocantins","bsZ2atdJ6V","",9,"2020-03-28T19:28:10.867Z",0,2020-03-29,NA,NA
"2020-03-25T23:37:11.094Z",-9.97499,-67.8243,"Acre","uTN8WP10HY","0%",42,"2020-03-30T19:42:57.092Z",8,2020-03-30,"0%",0
"2020-03-25T23:37:11.098Z",-9.66599,-35.735,"Alagoas","XHUDIFEjQy","",17,"2020-03-30T19:43:19.224Z",0,2020-03-30,"0%",0
"2020-03-25T23:37:11.100Z",0.034934,-51.0694,"Amapá","kfOtyvDHh3","",8,"2020-03-30T19:44:11.042Z",4,2020-03-30,"0%",0
"2020-03-25T23:37:11.101Z",-3.11866,-60.0212,"Amazonas","kZjftVxsJ2","",151,"2020-03-30T19:43:48.914Z",11,2020-03-30,"0,7%",1
"2020-03-25T23:37:11.114Z",-12.9718,-38.5011,"Bahia","alzUcJAbsL","",176,"2020-03-30T19:44:47.683Z",22,2020-03-30,"0,6%",1
"2020-03-25T23:37:11.120Z",-3.71664,-38.5423,"Ceará","ThJDLoQlin","",372,"2020-03-30T19:46:10.015Z",24,2020-03-30,"1,3%",5
"2020-03-25T23:37:11.118Z",-15.7795,-47.9297,"Distrito Federal","U8jHH89IkZ","",312,"2020-03-30T19:45:10.717Z",23,2020-03-30,"0,3%",1
"2020-03-25T23:37:11.118Z",-20.3155,-40.3128,"Espírito Santo","LlLUQQW7em","",72,"2020-03-30T19:45:50.809Z",12,2020-03-30,"0%",0
"2020-03-25T23:37:11.120Z",-16.6864,-49.2643,"Goiás","MOPNB3fPnM","",61,"2020-03-30T19:46:42.617Z",3,2020-03-30,"1,6%",1
"2020-03-25T23:37:11.116Z",-2.53874,-44.2825,"Maranhão","fwHJWgSphk","",23,"2020-03-30T19:45:31.848Z",7,2020-03-30,"4,3%",1
"2020-03-25T23:37:11.128Z",-15.601,-56.0974,"Mato Grosso","EPgf4v3eYo","",18,"2020-03-30T19:47:30.693Z",2,2020-03-30,"0%",0
"2020-03-25T23:37:11.142Z",-20.4486,-54.6295,"Mato Grosso do Sul","EgBxJSFJkf","",44,"2020-03-30T19:50:28.323Z",8,2020-03-30,"0%",0
"2020-03-25T23:37:11.132Z",-19.9102,-43.9266,"Minas Gerais","2v59GBInrd","",261,"2020-03-30T19:47:48.038Z",30,2020-03-30,"0,4%",1
"2020-03-25T23:37:11.129Z",-1.4554,-48.4898,"Pará","d1ejs3xsWl","",21,"2020-03-30T19:47:09.056Z",3,2020-03-30,"0%",0
"2020-03-25T23:37:11.144Z",-7.11509,-34.8641,"Paraíba","6eSlyH3T4n","",15,"2020-03-30T19:51:45.423Z",1,2020-03-30,"0%",0
"2020-03-25T23:37:11.137Z",-25.4195,-49.2646,"Paraná","cSB7DrlxKW","",155,"2020-03-30T19:49:15.687Z",7,2020-03-30,"1,9%",3
"2020-03-25T23:37:11.134Z",-8.04666,-34.8771,"Pernambuco","fnVKeAvGLb","",78,"2020-03-30T19:48:10.504Z",5,2020-03-30,"7,7%",6
"2020-03-25T23:37:11.138Z",-5.09194,-42.8034,"Piauí","gQiBOengLe","",16,"2020-03-30T19:49:34.352Z",2,2020-03-30,"18,8%",3
"2020-03-25T23:37:11.137Z",-22.9129,-43.2003,"Rio de Janeiro","SgfpOQHx9r","",657,"2020-03-30T19:49:52.797Z",57,2020-03-30,"2,7%",18
"2020-03-25T23:37:11.137Z",-5.79357,-35.1986,"Rio Grande do Norte","ZEqcJDbUUk","",77,"2020-03-30T19:48:33.673Z",9,2020-03-30,"1,3%",1
"2020-03-25T23:37:11.137Z",-30.0318,-51.2065,"Rio Grande do Sul","zWseWwWhhn","",241,"2020-03-30T19:48:57.554Z",15,2020-03-30,"1,2%",3
"2020-03-25T23:37:11.139Z",-8.76077,-63.8999,"Rondônia","IeCnkqtfOf","",6,"2020-03-30T19:50:11.396Z",0,2020-03-30,"0%",0
"2020-03-25T23:37:11.141Z",2.82384,-60.6753,"Roraima","OpUETQp72a","",16,"2020-03-30T19:51:06.040Z",0,2020-03-30,"0",0
"2020-03-25T23:37:11.156Z",-27.5945,-48.5477,"Santa Catarina","v64fT2DVSw","",197,"2020-03-30T19:52:19.146Z",3,2020-03-30,"0,5%",1
"2020-03-25T23:37:11.143Z",-23.5329,-46.6395,"São Paulo","AIzthCzqdx","",1517,"2020-03-30T19:51:31.372Z",66,2020-03-30,"7,4%",113
"2020-03-25T23:37:11.142Z",-10.9091,-37.0677,"Sergipe","VpSNd1zJrg","",16,"2020-03-30T19:50:44.877Z",0,2020-03-30,"0%",0
"2020-03-25T23:37:11.153Z",-10.24,-48.3558,"Tocantins","bsZ2atdJ6V","",10,"2020-03-30T19:52:00.546Z",1,2020-03-30,"0%",0
